Input data file: ./data_compilation_1mmky.csv,,,,,,,,,,,
Age Density Function: sigma = sqrtError,,,,,,,,,,,
Kernel Density Estimation: weight = adf,,,,,,,,,,,
Bandwith optimized for each data set,,,,,,,,,,,
,,,,,,,,,,,
group,group name,n,bw,suggested peak,Gaussians,,,,,,
A11,G1-G5,6,5,23±5,23.3±5.1 ky (100%),,,,,,
A12,G6-G8,7,9,69±11,68.8±10.5 ky (97%),46.2±7.2 ky (3%),,,,,
A21,AK1-AK4,18,5,23±7,22.7±6.5 ky (99%),9.5±3.5 ky (1%),,,,,
A22,KK,3,8,78±8,78.1±8.1 ky (38%),68.4±8.3 ky (62%),,,,,
A31,Kitsch Kurumdu-6,3,36,64±36,64.2±36.0 ky (61%),19.0±36.0 ky (39%),,,,,
A41,Terskey Ala Tau-3,5,11,68±12,67.6±12.0 ky (43%),37.4±11.9 ky (57%),,,,,
A42,Terskey Ala Tau-2,8,36,142±44,142.2±44.5 ky (20%),51.1±39.4 ky (80%),,,,,
A43,Terskey Ala Tau-1,7,35,116±31,116.1±31.0 ky (16%),73.4±52.5 ky (84%),,,,,
B11,AT,4,15,49±15,49.3±15.0 ky (17%),22.1±15.2 ky (83%),,,,,
B12,TK,5,8,89±9,89.2±8.5 ky (84%),74.0±7.9 ky (16%),,,,,
B21,Gu-Sha,12,17,38±26,38.5±26.4 ky (37%),19.3±19.3 ky (63%),,,,,
B31,M4,3,5,30±5,29.7±5.0 ky (100%),,,,,,
B32,M2-M3,10,12,71±12,70.7±12.3 ky (25%),43.5±17.1 ky (47%),18.6±11.9 ky (28%),,,,
B33,M1,9,5,91±5,91.3±5.3 ky (94%),82.5±4.7 ky (6%),,,,,
B41,BO2-BO5,10,5,24±5,24.1±5.1 ky (100%),,,,,,
B42,BO1,9,5,77±5,76.7±5.4 ky (16%),60.4±5.5 ky (45%),38.0±5.0 ky (39%),,,,
B51,UK4-UK6,10,7,38±11,38.3±10.6 ky (15%),20.6±7.4 ky (85%),,,,,
B52,UK1-UK3,12,26,72±39,71.6±39.3 ky (93%),25.9±19.8 ky (7%),,,,,
B61,GU1,6,23,76±25,76.4±24.9 ky (18%),30.5±24.5 ky (82%),,,,,
B62,GU2,5,5,63±6,62.9±5.6 ky (32%),30.5±5.7 ky (57%),26.3±4.4 ky (11%),,,,
B63,GU3,5,12,48±13,48.3±12.6 ky (22%),26.3±12.9 ky (78%),,,,,
B64,GU4,3,7,33±7,32.7±7.2 ky (42%),24.5±7.2 ky (58%),,,,,
C11,Subakh,26,14,135±23,134.8±22.9 ky (5%),67.7±23.9 ky (19%),26.6±14.8 ky (76%),,,,
C12,Karasu,5,50,635±50,634.7±50.0 ky (7%),370.1±47.8 ky (12%),249.0±66.9 ky (47%),178.1±47.6 ky (34%),,,
C21,Kuzigun,11,5,22±6,22.4±6.0 ky (94%),5.5±6.0 ky (6%),,,,,
C22,Hangdi,20,5,35±6,34.5±5.7 ky (10%),28.0±5.3 ky (72%),15.3±5.1 ky (18%),,,,
C23,Tashkurgan,25,13,80±16,80.5±15.6 ky (89%),69.1±24.8 ky (11%),,,,,
C24,Dabudaer,17,32,307±35,306.9±34.9 ky (9%),180.6±44.9 ky (21%),67.2±39.0 ky (70%),,,,
C31,M1-M2,5,23,87±24,86.6±24.3 ky (53%),47.9±24.3 ky (47%),,,,,
C32,M3,8,9,62±10,62.2±9.9 ky (49%),41.2±8.3 ky (11%),18.8±9.6 ky (41%),,,,
C33,M4,4,9,33±9,33.0±9.3 ky (21%),17.7±9.1 ky (79%),,,,,
D41,Skardu,9,38,199±41,199.5±40.6 ky (31%),121.1±47.9 ky (69%),,,,,
D51,Guhulkin-2,7,5,29±6,29.4±5.5 ky (21%),21.5±5.2 ky (79%),,,,,
D52,Guhulkin-1,6,5,29±5,29.4±5.4 ky (89%),19.2±5.0 ky (11%),,,,,
D53,Borit Jheel,7,11,65±12,65.4±11.7 ky (83%),38.2±11.6 ky (17%),,,,,
D54,Yunz,5,9,48±10,47.8±9.9 ky (41%),33.7±9.5 ky (59%),,,,,
E11,Bazgo,5,19,89±20,88.7±20.3 ky (27%),56.8±20.3 ky (73%),,,,,
E12,Kar,8,42,113±52,113.5±52.4 ky (57%),42.5±45.5 ky (43%),,,,,
E13,Leh,33,32,294±37,408.6±39.7 ky (3%),293.7±37.0 ky (19%),196.4±34.4 ky (57%),130.2±35.5 ky (21%),,,
E14,Indus,6,50,876±50,876.2±50.0 ky (8%),546.7±49.8 ky (27%),338.4±61.8 ky (36%),168.6±49.5 ky (28%),,,
E21,Ladakh-2,10,6,32±9,32.0±9.0 ky (24%),23.2±6.1 ky (76%),,,,,
E22,Ladakh-4,15,7,91±7,90.6±7.0 ky (20%),74.4±8.2 ky (11%),63.2±5.2 ky (1%),37.5±9.4 ky (20%),25.3±7.1 ky (48%),,
E23,Pangong-2,8,20,60±25,110.0±14.0 ky (2%),59.7±25.3 ky (98%),,,,,
E31,Deshkit-1,12,11,67±11,67.3±11.3 ky (6%),49.1±11.1 ky (80%),30.5±11.3 ky (13%),,,,
E32,Deshkit-2,6,15,92±16,129.5±11.8 ky (4%),91.7±16.4 ky (96%),,,,,
E33,Deshkit-3,12,10,164±17,189.5±8.6 ky (3%),163.6±17.1 ky (23%),128.2±11.5 ky (50%),38.0±10.1 ky (24%),,,
E41,PM1,5,37,125±37,125.4±37.1 ky (10%),46.1±37.8 ky (90%),,,,,
E42,PM0,6,26,192±25,191.5±25.2 ky (9%),131.5±27.7 ky (91%),,,,,
E51,KM1-KM3,16,26,82±30,151.1±25.5 ky (3%),81.7±30.3 ky (42%),23.4±26.7 ky (55%),,,,
E52,KM0,3,50,431±50,431.3±50.5 ky (65%),231.9±50.0 ky (35%),,,,,
F11,M1,9,5,49±5,49.1±5.0 ky (6%),41.7±5.2 ky (64%),22.6±5.0 ky (30%),,,,
F12,M2W,8,31,164±42,170.0±21.1 ky (5%),164.5±41.9 ky (95%),,,,,
F13,M2E,10,50,477±52,476.9±51.7 ky (14%),291.5±78.1 ky (16%),198.4±59.4 ky (70%),,,,
F21,M2,11,20,76±24,75.7±24.2 ky (41%),33.7±23.3 ky (59%),,,,,
F22,M3,7,29,193±33,192.5±32.6 ky (36%),134.6±32.5 ky (64%),,,,,
F31,M4,5,9,61±9,61.0±9.0 ky (52%),45.5±9.9 ky (48%),,,,,
F41,M4a,2,5,59±5,58.5±5.3 ky (100%),,,,,,
F51,M4a-M4c,17,9,47±10,46.8±10.2 ky (52%),32.4±16.5 ky (48%),,,,,
F52,M3,6,10,73±10,72.8±10.0 ky (41%),56.7±11.6 ky (24%),32.6±10.0 ky (35%),,,,
F53,M2,6,19,115±21,115.2±21.4 ky (26%),80.3±20.4 ky (74%),,,,,
F54,M1a-M1c,23,50,506±67,1408.1±49.7 ky (1%),1112.3±59.5 ky (2%),941.3±66.5 ky (4%),721.2±51.3 ky (2%),505.6±66.6 ky (30%),282.6±82.8 ky (27%),142.3±58.5 ky (33%)
F61,M1W (M4a),3,5,23±5,22.9±5.3 ky (100%),,,,,,
F62,M1E (M4a),6,12,49±13,48.9±13.2 ky (27%),28.3±13.0 ky (73%),,,,,
F63,M2,9,25,89±30,88.8±30.5 ky (49%),38.7±27.3 ky (51%),,,,,
F71,WXS-Aqu,20,5,42±6,56.5±5.1 ky (4%),41.9±5.9 ky (57%),24.9±5.5 ky (39%),,,,
F81,M3,7,20,57±24,57.2±24.4 ky (96%),13.0±14.0 ky (4%),,,,,
F82,M2,2,5,88±5,88.3±5.0 ky (100%),,,,,,
